,participant_name,market,description,handicap
1361,James Harden,player_rebounds_over_under,James Harden - Alt Rebounds,5.5
1362,James Harden,player_rebounds_over_under,James Harden - Alt Rebounds,6.5
1363,James Harden,player_rebounds_over_under,James Harden - Rebounds,4.5
1364,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Alt Rebounds,1.5
1365,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Alt Rebounds,2.5
1366,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Alt Rebounds,3.5
1367,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Alt Rebounds,4.5
1368,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Alt Rebounds,5.5
1369,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Alt Rebounds,6.5
1370,Jimmy Butler,player_rebounds_over_under,Jimmy Butler - Rebounds,4.5
1371,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,2.5
1372,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,3.5
1373,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,4.5
1374,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,5.5
1375,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,6.5
1376,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,7.5
1377,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Alt Rebounds,8.5
1378,Kawhi Leonard,player_rebounds_over_under,Kawhi Leonard - Rebounds,6.5
1379,Kevin Love,player_rebounds_over_under,Kevin Love - Alt Rebounds,1.5
1380,Kevin Love,player_rebounds_over_under,Kevin Love - Alt Rebounds,2.5
1381,Kevin Love,player_rebounds_over_under,Kevin Love - Alt Rebounds,3.5
1382,Kevin Love,player_rebounds_over_under,Kevin Love - Alt Rebounds,4.5
1383,Kevin Love,player_rebounds_over_under,Kevin Love - Alt Rebounds,5.5
1384,Kevin Love,player_rebounds_over_under,Kevin Love - Alt Rebounds,6.5
1385,Kevin Love,player_rebounds_over_under,Kevin Love - Rebounds,4.5
1386,Paul George,player_rebounds_over_under,Paul George - Alt Rebounds,1.5
1387,Paul George,player_rebounds_over_under,Paul George - Alt Rebounds,2.5
