game_date,opponent_team,team
2024-10-17,DEN,MIN
2024-10-17,LAL,PHX
2024-10-17,SAC,LAC
2024-10-18,PHI,ORL
2024-10-18,NYK,WAS
2024-10-18,TOR,BKN
2024-10-18,CLE,CHI
2024-10-18,MIA,MEM
2024-10-18,UTA,POR
2024-10-18,LAL,GSW
2024-10-22,NYK,BOS
2024-10-22,MIN,LAL
2024-10-23,IND,DET
2024-10-23,BKN,ATL
2024-10-23,ORL,MIA
2024-10-23,MIL,PHI
2024-10-23,CLE,TOR
2024-10-23,CHA,HOU
2024-10-23,CHI,NOP
2024-10-23,MEM,UTA
2024-10-23,PHX,LAC
2024-10-23,GSW,POR
2024-10-24,BOS,WAS
2024-10-24,SAS,DAL
2024-10-24,OKC,DEN
2024-10-24,MIN,SAC
2024-10-25,BKN,ORL
2024-10-25,PHI,TOR
2024-10-25,CHA,ATL
2024-10-25,DET,CLE
2024-10-25,IND,NYK
2024-10-25,MEM,HOU
2024-10-25,CHI,MIL
2024-10-25,GSW,UTA
2024-10-25,PHX,LAL
2024-10-25,NOP,POR
2024-10-26,LAC,DEN
2024-10-26,MIA,CHA
2024-10-26,BOS,DET
2024-10-26,CLE,WAS
2024-10-26,OKC,CHI
2024-10-26,ORL,MEM
2024-10-26,TOR,MIN
2024-10-26,HOU,SAS
2024-10-26,DAL,PHX
2024-10-26,SAC,LAL
2024-10-27,PHI,IND
2024-10-27,MIL,BKN
2024-10-27,NOP,POR
2024-10-27,ATL,OKC
2024-10-27,LAC,GSW
2024-10-28,IND,ORL
2024-10-28,WAS,ATL
2024-10-28,MIL,BOS
2024-10-28,DET,MIA
2024-10-28,CLE,NYK
2024-10-28,DEN,TOR
2024-10-28,CHI,MEM
2024-10-28,HOU,SAS
2024-10-28,UTA,DAL
2024-10-28,LAL,PHX
2024-10-28,POR,SAC
2024-10-29,DEN,BKN
2024-10-29,DAL,MIN
2024-10-29,SAC,UTA
2024-10-29,NOP,GSW
2024-10-30,TOR,CHA
2024-10-30,LAL,CLE
2024-10-30,BOS,IND
2024-10-30,DET,PHI
2024-10-30,ATL,WAS
2024-10-30,NYK,MIA
2024-10-30,ORL,CHI
2024-10-30,BKN,MEM
2024-10-30,SAS,OKC
2024-10-30,NOP,GSW
2024-10-30,POR,LAC
2024-10-31,MIL,MEM
2024-10-31,HOU,DAL
2024-10-31,SAS,UTA
2024-10-31,PHX,LAC
2024-11-01,BOS,CHA
2024-11-01,ORL,CLE
2024-11-01,NYK,DET
2024-11-01,SAC,ATL
2024-11-01,CHI,BKN
2024-11-01,LAL,TOR
2024-11-01,IND,NOP
2024-11-01,DEN,MIN
2024-11-01,OKC,POR
2024-11-02,BOS,CHA
2024-11-02,MEM,PHI
2024-11-02,SAC,TOR
2024-11-02,GSW,HOU
2024-11-02,CLE,MIL
2024-11-02,MIN,SAS
2024-11-02,MIA,WAS
2024-11-02,UTA,DEN
2024-11-02,POR,PHX
2024-11-02,OKC,LAC
2024-11-03,DET,BKN
2024-11-03,ATL,NOP
2024-11-03,ORL,DAL
2024-11-04,MIL,CLE
2024-11-04,GSW,WAS
2024-11-04,LAL,DET
2024-11-04,BOS,ATL
2024-11-04,MEM,BKN
2024-11-04,SAC,MIA
2024-11-04,UTA,CHI
2024-11-04,NYK,HOU
2024-11-04,CHA,MIN
2024-11-04,ORL,OKC
2024-11-04,POR,NOP
2024-11-04,IND,DAL
2024-11-04,TOR,DEN
2024-11-04,PHI,PHX
2024-11-04,SAS,LAC
2024-11-06,DET,CHA
2024-11-06,ORL,IND
2024-11-06,NYK,ATL
2024-11-06,GSW,BOS
2024-11-06,SAS,HOU
2024-11-06,LAL,MEM
2024-11-06,CLE,NOP
2024-11-06,CHI,DAL
2024-11-06,OKC,DEN
2024-11-06,MIA,PHX
2024-11-06,PHI,LAC
2024-11-06,TOR,SAC
2024-11-07,MIN,CHI
